Fertilizer.type_rep	Fertilizer.type_GROUP	NO3.availability.proxy	NO3.avail.v2	NO3.avail.v3	NO3.avail.f3
CK+P	Control	0	0	1	noFert
CK+PK	Control	0	0	1	noFert
control	Control	0	0	1	noFert
control 	Control	0	0	1	noFert
control (+ nitrapyrin; plus 22 kg N/ha as basedressing)	Control	0	0	1	noFert
control (gets starter fertilizer)	Control	0	0	1	noFert
control (plus 22 kg N/ha as basedressing)	Control	0	0	1	noFert
control + drip irri.	Control	0	0	1	noFert
control + furrow irri.	Control	0	0	1	noFert
control furrow	Control	0	0	1	noFert
control ridge	Control	0	0	1	noFert
"control, continuous irri."	Control	0	0	1	noFert
"control, intermitted irri."	Control	0	0	1	noFert
control/starter	Control	0	0	1	noFert
control+no plant	Control	0	0	1	noFert
control+no straw+drainage+PK	Control	0	0	1	noFert
control+no straw+flooding+PK	Control	0	0	1	noFert
control+org	Control	0	0	1	noFert
control+PK	Control	0	0	1	noFert
control+residues	Control	0	0	1	noFert
control+starter	Control	0	0	1	noFert
control+straw+drainage+PK	Control	0	0	1	noFert
control+straw+flooding+PK	Control	0	0	1	noFert
control+water	Control	0	0	1	noFert
control-burn	Control	0	0	1	noFert
control-unburn	Control	0	0	1	noFert
"DI irri, Control"	Control	0	0	1	noFert
ECC alone	Control	0	0	1	noFert
"F irri, control+PK"	Control	0	0	1	noFert
"FDF irri, control+PK"	Control	0	0	1	noFert
"FDFM irri, control+PK"	Control	0	0	1	noFert
no fertilizer no straw tillage	Control	0	0	1	noFert
"SDI irri, Control"	Control	0	0	1	noFert
20 biochar	organic (high C-N ratio)	1	1	1	lowNO3
40 biochar	organic (high C-N ratio)	1	1	1	lowNO3
Alfalfa mulch	organic (high C-N ratio)	1	1	1	lowNO3
Biochar	organic (high C-N ratio)	1	1	1	lowNO3
biochar	organic (high C-N ratio)	1	1	1	lowNO3
biochar +PK	organic (high C-N ratio)	1	1	1	lowNO3
biochar(corn straw)+PK	organic (high C-N ratio)	1	1	1	lowNO3
Biochar(wheat straw)	organic (high C-N ratio)	1	1	1	lowNO3
Chinese medicine residue compost	organic (high C-N ratio)	1	1	1	lowNO3
compost	organic (high C-N ratio)	1	1	1	lowNO3
compost sludge	organic (high C-N ratio)	1	1	1	lowNO3
Composted crop residues + sludge	organic (high C-N ratio)	1	1	1	lowNO3
composted municipal solid waste	organic (high C-N ratio)	1	1	1	lowNO3
