precrop	percrop_GROUP	"Precrop3cat (Perenial, Legumes, Other, Rice)"
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
dairy-grazed pasture	grassland/pasture/steppe/savanah	Perennial
dairy-grazed pasture	grassland/pasture/steppe/savanah	Perennial
dairy-grazed pasture	grassland/pasture/steppe/savanah	Perennial
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
fallow colonised with grass	bare/fallow	Perennial
fallow colonised with grass	bare/fallow	Perennial
fallow colonised with grass	bare/fallow	Perennial
fallow colonised with grass	bare/fallow	Perennial
fallow colonised with grass	bare/fallow	Perennial
fallow colonised with grass	bare/fallow	Perennial
NA	NA	NA
fallow	bare/fallow	Perennial
NA	NA	NA
fallow	bare/fallow	Perennial
fallow	bare/fallow	Perennial
NA	NA	NA
fallow	bare/fallow	Perennial
NA	NA	NA
maize	cereals	others
wheat	cereals	others
maize	cereals	others
wheat	cereals	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
rice wheat or rice rapeseed	cereal-cereal/legume rotations	others
NA	NA	NA
Amaranth	cereals	others
Turnip	vegetables	others
NA	NA	NA
Turnip	vegetables	others
Amaranth	cereals	others
vegetable	vegetables	others
vegetable	vegetables	others
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
pasture	grassland/pasture/steppe/savanah	Perennial
pasture	grassland/pasture/steppe/savanah	Perennial
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
cereals	cereals	others
miscanthus	"row crops (sugarcane, cotton, etc.)"	others
miscanthus	"row crops (sugarcane, cotton, etc.)"	others
miscanthus	"row crops (sugarcane, cotton, etc.)"	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rye	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
wheat	cereals	others
rice	rice	rice
wheat	cereals	others
rice	rice	rice
rice	rice	rice
wheat	cereals	others
rice	rice	rice
rice	rice	rice
wheat	cereals	others
rice	rice	rice
rice	rice	rice
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
Douglas fir forest	perennials (trees/forests/plantations)	Perennial
Douglas fir forest	perennials (trees/forests/plantations)	Perennial
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
maize	cereals	others
cucumber	vegetables	others
cabbage	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
celery	vegetables	others
chilli pepper	vegetables	others
cucumber	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
cabbage	vegetables	others
cucumber	vegetables	others
cabbage	vegetables	others
fallow	bare/fallow	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
Fallowed cropland	bare/fallow	Perennial
Fallowed cropland	bare/fallow	Perennial
Fallowed cropland	bare/fallow	Perennial
Fallowed cropland	bare/fallow	Perennial
Fallowed cropland	bare/fallow	Perennial
Fallowed cropland	bare/fallow	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
soybean	legumes	legumes
permanent pasture	grassland/pasture/steppe/savanah	Perennial
permanent pasture	grassland/pasture/steppe/savanah	Perennial
permanent pasture	grassland/pasture/steppe/savanah	Perennial
permanent pasture	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
NA	NA	NA
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
grassland	grassland/pasture/steppe/savanah	Perennial
NA	NA	NA
NA	NA	NA
NA	NA	NA
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
rice	rice	rice
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
wheat	cereals	others
rice	rice	rice
